file,frame,field,min_raw,max_raw,mean_raw
LOG00023,I,rcCommand[2],-198.0,500.0,24.231657976651157
LOG00023,I,rcCommand[3],1000.0,2000.0,1294.096798506927
LOG00023,I,setpoint[0],-421.0,1170.0,-15.850447987157484
LOG00023,I,setpoint[1],-265.0,1170.0,-13.96992319287919
LOG00023,I,setpoint[2],-150.0,861.0,15.800513570128098
LOG00023,I,setpoint[3],0.0,1000.0,294.101043454428
LOG00023,I,vbatLatest,1798.0,2628.0,2279.142683746517
LOG00023,I,amperageLatest,0.0,4045.0,652.3789847364609
LOG00023,I,baroAlt,-1972.0,3876.0,691.5213650393824
LOG00023,I,rssi,391.0,707.0,564.6828198719663
LOG00023,I,gyroADC[0],-441.0,1197.0,-15.923261398711833
LOG00023,I,gyroADC[1],-270.0,1110.0,-13.804732414954222
LOG00023,I,gyroADC[2],-156.0,862.0,15.609122232300756
LOG00023,I,gyroUnfilt[0],-456.0,1202.0,-15.930576673344602
LOG00023,I,gyroUnfilt[1],-275.0,1114.0,-13.812850346839292
LOG00023,I,gyroUnfilt[2],-166.0,872.0,15.609004770263832
LOG00023,I,accSmooth[0],-3343.0,1768.0,-549.4596452646485
LOG00023,I,accSmooth[1],-3191.0,3394.0,230.6332345782134
LOG00023,I,accSmooth[2],-7383.0,16216.0,3067.8572542596303
LOG00023,I,motor[0],158.0,2047.0,634.9292682767666
LOG00023,I,motor[1],158.0,2047.0,777.8748376739907
LOG00023,I,motor[2],158.0,2047.0,706.1951109689966
LOG00023,I,motor[3],158.0,2047.0,762.3624160635861
LOG00023,I,eRPM[0],12.0,2326.0,849.9827624460817
LOG00023,I,eRPM[1],12.0,2335.0,1013.8673592576399
LOG00023,I,eRPM[2],12.0,2335.0,937.6788424768828
LOG00023,I,eRPM[3],12.0,2326.0,997.2163291808328
LOG00023,G,time,88452206.0,390843545.0,243944454.7761348
LOG00023,G,GPS_numSat,21.0,28.0,25.758253094910593
LOG00023,G,GPS_coord[0],459167602.0,459175256.0,459170960.5983494
LOG00023,G,GPS_coord[1],168442190.0,168458793.0,168451732.38755158
LOG00023,G,GPS_altitude,1364.0,1614.0,1447.1162310866575
LOG00023,G,GPS_speed,0.0,4151.0,1285.0371389270977
LOG00023,G,GPS_ground_course,4.0,3599.0,1768.9246905089408
LOG00023,H,last_main_time,88451960.0,88451960.0,88451960.0
LOG00023,H,GPS_home[0],459169283.0,459169283.0,459169283.0
LOG00023,H,GPS_home[1],168454560.0,168454560.0,168454560.0
LOG00023,S,last_main_time,88451960.0,390828746.0,241910864.17948717
LOG00023,S,flightModeFlags,0.0,1.0,0.9743589743589743
LOG00023,S,stateFlags,7.0,7.0,7.0
LOG00023,S,failsafePhase,0.0,0.0,0.0
LOG00023,S,rxSignalReceived,1.0,1.0,1.0
LOG00023,S,rxFlightChannelsValid,1.0,1.0,1.0
LOG00024,I,loopIteration,0.0,2712.0,1356.0
LOG00024,I,time,70324251.0,70993463.0,70658857.96318115
LOG00024,I,axisP[0],0.0,2.0,0.9337260677466863
LOG00024,I,axisP[1],-1.0,3.0,1.0382916053019147
LOG00024,I,axisP[2],-1.0,0.0,-0.4020618556701031
LOG00024,I,axisI[0],0.0,0.0,0.0
LOG00024,I,axisI[1],0.0,0.0,0.0
LOG00024,I,axisI[2],0.0,0.0,0.0
LOG00024,I,axisD[0],-2.0,2.0,0.013254786450662739
LOG00024,I,axisD[1],-3.0,3.0,-0.007363770250368188
LOG00024,I,axisF[0],0.0,0.0,0.0
LOG00024,I,axisF[1],0.0,0.0,0.0
LOG00024,I,axisF[2],0.0,0.0,0.0
LOG00024,I,rcCommand[0],0.0,1.0,0.9896907216494846
LOG00024,I,rcCommand[1],1.0,1.0,1.0
LOG00024,I,rcCommand[2],-1.0,0.0,-0.8497790868924889
LOG00024,I,rcCommand[3],1000.0,1000.0,1000.0
LOG00024,I,setpoint[0],0.0,1.0,0.9926362297496318
LOG00024,I,setpoint[1],1.0,1.0,1.0
LOG00024,I,setpoint[2],0.0,0.0,0.0
LOG00024,I,setpoint[3],0.0,0.0,0.0
LOG00024,I,vbatLatest,2493.0,2525.0,2511.7658321060385
LOG00024,I,amperageLatest,0.0,180.0,106.6038291605302
LOG00024,I,baroAlt,26.0,76.0,47.77614138438881
LOG00024,I,rssi,699.0,699.0,699.0
LOG00024,I,gyroADC[0],-1.0,1.0,-0.022091310751104567
LOG00024,I,gyroADC[1],-2.0,1.0,-0.1796759941089838
LOG00024,I,gyroADC[2],-1.0,1.0,-0.039764359351988215
LOG00024,I,gyroUnfilt[0],-1.0,1.0,-0.09278350515463918
LOG00024,I,gyroUnfilt[1],-2.0,2.0,-0.16200294550810015
LOG00024,I,gyroUnfilt[2],-1.0,1.0,-0.08394698085419734
LOG00024,I,accSmooth[0],-118.0,-60.0,-90.61119293078056
LOG00024,I,accSmooth[1],-8.0,42.0,16.20324005891016
LOG00024,I,accSmooth[2],2002.0,2070.0,2036.4374079528718
LOG00024,I,motor[0],158.0,182.0,164.18703976435935
LOG00024,I,motor[1],158.0,172.0,158.6318114874816
LOG00024,I,motor[2],158.0,188.0,166.10898379970544
LOG00024,I,motor[3],158.0,173.0,163.73343151693666
LOG00024,I,eRPM[0],12.0,261.0,200.82768777614137
LOG00024,I,eRPM[1],12.0,250.0,195.6480117820324
LOG00024,I,eRPM[2],12.0,270.0,205.4742268041237
LOG00024,I,eRPM[3],12.0,261.0,201.6435935198822
LOG00024,G,time,70324497.0,70844174.0,70617500.0
LOG00024,G,GPS_numSat,28.0,29.0,28.6
LOG00024,G,GPS_coord[0],459169192.0,459169192.0,459169192.0
LOG00024,G,GPS_coord[1],168454402.0,168454403.0,168454402.4
LOG00024,G,GPS_altitude,1397.0,1397.0,1397.0
LOG00024,G,GPS_speed,2.0,5.0,3.2
LOG00024,G,GPS_ground_course,3115.0,3115.0,3115.0
LOG00024,H,last_main_time,70324251.0,70324251.0,70324251.0
LOG00024,H,GPS_home[0],459169192.0,459169192.0,459169192.0
LOG00024,H,GPS_home[1],168454404.0,168454404.0,168454404.0
LOG00024,S,last_main_time,70324251.0,70966813.0,70796314.75
LOG00024,S,flightModeFlags,0.0,1.0,0.5
LOG00024,S,stateFlags,7.0,7.0,7.0
LOG00024,S,failsafePhase,0.0,0.0,0.0
LOG00024,S,rxSignalReceived,1.0,1.0,1.0
LOG00024,S,rxFlightChannelsValid,1.0,1.0,1.0
LOG00025,I,loopIteration,0.0,1452344.0,726172.0
LOG00025,I,time,83930273.0,442184414.0,263059294.80601344
LOG00025,I,axisP[0],-450.0,672.0,0.14866684844128267
LOG00025,I,axisP[1],-892.0,469.0,-0.38364083539206856
LOG00025,I,axisP[2],-155.0,700.0,0.33642625596620096
LOG00025,I,axisI[0],-99.0,72.0,4.604254627678766
LOG00025,I,axisI[1],-118.0,133.0,-25.099609735407768
LOG00025,I,axisI[2],-181.0,251.0,9.422636998846007
LOG00025,I,axisD[0],-557.0,610.0,0.009342113598118358
LOG00025,I,axisD[1],-532.0,608.0,0.029645787373274175
LOG00025,I,axisF[0],-710.0,650.0,0.03378804528942099
LOG00025,I,axisF[1],-826.0,445.0,0.00858196520393184
LOG00025,I,axisF[2],-183.0,282.0,0.0062188951959172315
LOG00025,I,rcCommand[0],-391.0,500.0,-13.429599517471019
LOG00025,I,rcCommand[1],-281.0,500.0,-16.475139567101
LOG00025,I,rcCommand[2],-203.0,500.0,19.538344804413267
LOG00025,I,rcCommand[3],1000.0,2000.0,1281.5271904529768
LOG00025,I,setpoint[0],-581.0,1170.0,-8.703007819062648
LOG00025,I,setpoint[1],-284.0,1170.0,-10.677242644324913
LOG00025,I,setpoint[2],-156.0,861.0,12.767543316064744
LOG00025,I,setpoint[3],0.0,1000.0,281.53424936723155
LOG00025,I,vbatLatest,1755.0,2638.0,2290.350469722133
